role,version_uri,book,author_id,death_date_ah,tok_length_meta,uncorrected_ocr,url,http_ok,n_bytes,non_arabic_ratio,mean_word_length,long_line_ratio,n_markdown_chars_removed,passes_section3
ocr_flagged,0361AbuYacqubSijistani.IthbatNubuwwa.Kraken210622021808-ara1,0361AbuYacqubSijistani.IthbatNubuwwa,0361AbuYacqubSijistani,361.0,62798.0,True,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0361AbuYacqubSijistani/0361AbuYacqubSijistani.IthbatNubuwwa/0361AbuYacqubSijistani.IthbatNubuwwa.Kraken210622021808-ara1,True,663697,0.07098923089075537,4.546737394311505,0.0,3630,False
ocr_flagged,0597IbnJawzi.ShudhurCuqud.AOCP2023090617-ara1,0597IbnJawzi.ShudhurCuqud,0597IbnJawzi,597.0,28741.0,True,https://raw.githubusercontent.com/OpenITI/0600AH/master/data/0597IbnJawzi/0597IbnJawzi.ShudhurCuqud/0597IbnJawzi.ShudhurCuqud.AOCP2023090617-ara1,True,309828,0.13199290423928955,4.913010277132584,0.0,4033,False
ocr_flagged,0392IbnJinniMawsili.MudhakkarWaMuannath.Kraken22021701013201-ara1,0392IbnJinniMawsili.MudhakkarWaMuannath,0392IbnJinniMawsili,392.0,17052.0,True,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0392IbnJinniMawsili/0392IbnJinniMawsili.MudhakkarWaMuannath/0392IbnJinniMawsili.MudhakkarWaMuannath.Kraken22021701013201-ara1,True,201711,0.17025456264621253,5.191894085421528,0.0,1785,False
random,0756TaqiDinSubki.DurraMudiyya.Kraken21052523-ara1,0756TaqiDinSubki.DurraMudiyya,0756TaqiDinSubki,756.0,7934.0,True,https://raw.githubusercontent.com/OpenITI/0775AH/master/data/0756TaqiDinSubki/0756TaqiDinSubki.DurraMudiyya/0756TaqiDinSubki.DurraMudiyya.Kraken21052523-ara1.mARkdown,True,76677,0.03362654751931493,4.240849914026038,0.0,699,True
random,0228AbuJahmBahili.Juz.Shamela0009088-ara1,0228AbuJahmBahili.Juz,0228AbuJahmBahili,228.0,6117.0,False,https://raw.githubusercontent.com/OpenITI/0250AH/master/data/0228AbuJahmBahili/0228AbuJahmBahili.Juz/0228AbuJahmBahili.Juz.Shamela0009088-ara1,True,59630,0.03150927861169173,3.9888924151063154,0.0,4010,True
random,0581AbuMusaMadini.DhikrIbnAbiDunya.Shamela0009510-ara1,0581AbuMusaMadini.DhikrIbnAbiDunya,0581AbuMusaMadini,581.0,2792.0,False,https://raw.githubusercontent.com/OpenITI/0600AH/master/data/0581AbuMusaMadini/0581AbuMusaMadini.DhikrIbnAbiDunya/0581AbuMusaMadini.DhikrIbnAbiDunya.Shamela0009510-ara1,True,27498,0.028330995792426372,3.958507670850767,0.0,2182,True
random,0852IbnHajarCasqalani.BulughMaram.Shamela0009111-ara1,0852IbnHajarCasqalani.BulughMaram,0852IbnHajarCasqalani,852.0,54328.0,False,https://raw.githubusercontent.com/OpenITI/0875AH/master/data/0852IbnHajarCasqalani/0852IbnHajarCasqalani.BulughMaram/0852IbnHajarCasqalani.BulughMaram.Shamela0009111-ara1,True,558348,0.05011979143786893,3.919975942663348,0.0,51821,False
random,0751IbnQayyimJawziyya.RisalaTabukiyya.JK000058-ara1,0751IbnQayyimJawziyya.RisalaTabukiyya,0751IbnQayyimJawziyya,751.0,10682.0,False,https://raw.githubusercontent.com/OpenITI/0775AH/master/data/0751IbnQayyimJawziyya/0751IbnQayyimJawziyya.RisalaTabukiyya/0751IbnQayyimJawziyya.RisalaTabukiyya.JK000058-ara1,True,109198,0.03840743989012263,4.292430488553635,0.0,2115,True
random,0458Bayhaqi.QadaWaQadar.JK009179-ara1,0458Bayhaqi.QadaWaQadar,0458Bayhaqi,458.0,59343.0,False,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0458Bayhaqi/0458Bayhaqi.QadaWaQadar/0458Bayhaqi.QadaWaQadar.JK009179-ara1.completed,True,585405,0.05814974877903101,3.1304200418952135,0.0,10045,False
random,0309IbnMarzuban.DhammThuqala.Shamela0006769-ara1,0309IbnMarzuban.DhammThuqala,0309IbnMarzuban,309.0,6376.0,False,https://raw.githubusercontent.com/OpenITI/0325AH/master/data/0309IbnMarzuban/0309IbnMarzuban.DhammThuqala/0309IbnMarzuban.DhammThuqala.Shamela0006769-ara1.completed,True,61087,0.027962479221087633,3.894246176256373,0.0,2029,True
random,0749BadrDinMisriMuradi.JanaDani.JK010091-ara1,0749BadrDinMisriMuradi.JanaDani,0749BadrDinMisriMuradi,749.0,62883.0,False,https://raw.githubusercontent.com/OpenITI/0750AH/master/data/0749BadrDinMisriMuradi/0749BadrDinMisriMuradi.JanaDani/0749BadrDinMisriMuradi.JanaDani.JK010091-ara1,True,627023,0.02720206889766541,4.316501136771569,0.0,3377,True
random,0606FakhrDinRazi.AsasTaqdis.JK001259-ara1,0606FakhrDinRazi.AsasTaqdis,0606FakhrDinRazi,606.0,37665.0,False,https://raw.githubusercontent.com/OpenITI/0625AH/master/data/0606FakhrDinRazi/0606FakhrDinRazi.AsasTaqdis/0606FakhrDinRazi.AsasTaqdis.JK001259-ara1,True,369417,0.04219814360973351,4.244149528923108,0.0,3358,True
random,0643DiyaDinMaqdisi.JuzAhadithMashayikhBaghdad.ShamAY0032950-ara1,0643DiyaDinMaqdisi.JuzAhadithMashayikhBaghdad,0643DiyaDinMaqdisi,643.0,2876.0,False,https://raw.githubusercontent.com/OpenITI/0650AH/master/data/0643DiyaDinMaqdisi/0643DiyaDinMaqdisi.JuzAhadithMashayikhBaghdad/0643DiyaDinMaqdisi.JuzAhadithMashayikhBaghdad.ShamAY0032950-ara1,True,30220,0.034053266198489474,4.063005390835579,0.0,2505,True
